year,subbasin,water_right_date,water_right_cat,shut_off_date,shut_off_julian
1982,bw_ab_magic,3/24/1883,A,10/1/82,274
1982,bw_ab_magic,10/14/1884,B,10/1/82,274
1982,bw_ab_magic,6/1/1886,C,10/1/82,274
1982,bw_bl_magic,3/24/1883,A,9/17/82,260
1982,bw_bl_magic,10/14/1884,B,9/17/82,260
1982,bw_bl_magic,6/1/1886,C,9/17/82,260
1982,sc_lw,3/24/1883,A,10/1/82,274
1982,sc_lw,10/14/1884,B,10/1/82,274
1982,sc_lw,6/1/1886,C,10/1/82,274
1983,bw_ab_magic,3/24/1883,A,10/1/83,274
1983,bw_ab_magic,10/14/1884,B,10/1/83,274
1983,bw_ab_magic,6/1/1886,C,10/1/83,274
1983,bw_bl_magic,3/24/1883,A,9/10/83,253
1983,bw_bl_magic,10/14/1884,B,9/10/83,253
1983,bw_bl_magic,6/1/1886,C,9/10/83,253
1983,sc_lw,3/24/1883,A,10/1/83,274
1983,sc_lw,10/14/1884,B,10/1/83,274
1983,sc_lw,6/1/1886,C,10/1/83,274
1984,bw_ab_magic,3/24/1883,A,10/1/84,275
1984,bw_ab_magic,10/14/1884,B,10/1/84,275
1984,bw_ab_magic,6/1/1886,C,10/1/84,275
1984,bw_bl_magic,3/24/1883,A,9/1/84,245
1984,bw_bl_magic,10/14/1884,B,9/1/84,245
1984,bw_bl_magic,6/1/1886,C,9/1/84,245
1984,sc_lw,3/24/1883,A,10/1/84,275
1984,sc_lw,10/14/1884,B,10/1/84,275
1984,sc_lw,6/1/1886,C,10/1/84,275
1985,bw_ab_magic,3/24/1883,A,10/1/85,274
1985,bw_ab_magic,10/14/1884,B,7/19/85,200
1985,bw_ab_magic,6/1/1886,C,7/12/85,193
1985,bw_bl_magic,3/24/1883,A,9/9/85,252
1985,bw_bl_magic,10/14/1884,B,9/9/85,252
1985,bw_bl_magic,6/1/1886,C,7/16/85,197
1985,sc_lw,3/24/1883,A,10/1/85,274
1985,sc_lw,10/14/1884,B,10/1/85,274
1985,sc_lw,6/1/1886,C,8/16/85,228
1986,bw_ab_magic,3/24/1883,A,10/1/86,274
1986,bw_ab_magic,10/14/1884,B,10/1/86,274
1986,bw_ab_magic,6/1/1886,C,10/1/86,274
1986,bw_bl_magic,3/24/1883,A,9/16/86,259
1986,bw_bl_magic,10/14/1884,B,9/16/86,259
1986,bw_bl_magic,6/1/1886,C,9/16/86,259
1986,sc_lw,3/24/1883,A,10/1/86,274
1986,sc_lw,10/14/1884,B,10/1/86,274
1986,sc_lw,6/1/1886,C,10/1/86,274
1987,bw_ab_magic,3/24/1883,A,9/11/87,254
1987,bw_ab_magic,10/14/1884,B,6/28/87,179
1987,bw_ab_magic,6/1/1886,C,6/26/87,177
1987,bw_bl_magic,3/24/1883,A,8/28/87,240
1987,bw_bl_magic,10/14/1884,B,8/28/87,240
1987,bw_bl_magic,6/1/1886,C,8/13/87,225
1987,sc_lw,3/24/1883,A,9/30/87,273
1987,sc_lw,10/14/1884,B,9/30/87,273
1987,sc_lw,6/1/1886,C,8/17/87,229
1988,bw_ab_magic,3/24/1883,A,8/2/88,215
1988,bw_ab_magic,10/14/1884,B,7/13/88,195
1988,bw_ab_magic,6/1/1886,C,7/4/88,186
1988,bw_bl_magic,3/24/1883,A,10/1/88,275
1988,bw_bl_magic,10/14/1884,B,7/15/88,197
1988,bw_bl_magic,6/1/1886,C,7/6/88,188
1988,sc_lw,3/24/1883,A,10/1/88,275
1988,sc_lw,10/14/1884,B,6/21/85,172
1988,sc_lw,6/1/1886,C,5/5/85,125
1989,bw_ab_magic,3/24/1883,A,10/1/89,274
1989,bw_ab_magic,10/14/1884,B,7/22/89,203
1989,bw_ab_magic,6/1/1886,C,7/18/89,199
1989,bw_bl_magic,3/24/1883,A,10/1/88,275
1989,bw_bl_magic,10/14/1884,B,7/21/88,203
1989,bw_bl_magic,6/1/1886,C,7/12/88,194
1989,sc_lw,3/24/1883,A,10/1/89,274
1989,sc_lw,10/14/1884,B,10/1/89,274
1989,sc_lw,6/1/1886,C,7/21/89,202
1990,bw_ab_magic,3/24/1883,A,10/1/90,274
1990,bw_ab_magic,10/14/1884,B,7/23/90,204
1990,bw_ab_magic,6/1/1886,C,7/14/90,195
1990,bw_bl_magic,3/24/1883,A,10/1/90,274
1990,bw_bl_magic,10/14/1884,B,10/1/90,274
1990,bw_bl_magic,6/1/1886,C,8/1/90,213
1990,sc_lw,3/24/1883,A,10/1/90,274
1990,sc_lw,10/14/1884,B,7/4/90,185
1990,sc_lw,6/1/1886,C,6/27/90,178
1991,bw_ab_magic,3/24/1883,A,8/12/91,224
1991,bw_ab_magic,10/14/1884,B,7/30/91,211
1991,bw_ab_magic,6/1/1886,C,7/18/91,199
1991,bw_bl_magic,3/24/1883,A,10/1/91,274
1991,bw_bl_magic,10/14/1884,B,10/1/91,274
1991,bw_bl_magic,6/1/1886,C,7/19/91,200
1991,sc_lw,3/24/1883,A,10/1/91,274
1991,sc_lw,10/14/1884,B,6/13/91,164
1991,sc_lw,6/1/1886,C,5/29/91,149
