Date,Teeter Canyon P5,Stalker Creek P7,Gillihan Bashaw,Gillihan Picabo Live.,Gillihan Woods,Stanfield 13,Albrethson 17,Kilpatrick 18,Iden 19 Fish and Game,Iden 19 Picabo Livestock
1/1/03,0,0,0,0,0,0,0,0,0,0
1/2/03,0,0,0,0,0,0,0,0,0,0
1/3/03,0,0,0,0,0,0,0,0,0,0
1/4/03,0,0,0,0,0,0,0,0,0,0
1/5/03,0,0,0,0,0,0,0,0,0,0
1/6/03,0,0,0,0,0,0,0,0,0,0
1/7/03,0,0,0,0,0,0,0,0,0,0
1/8/03,0,0,0,0,0,0,0,0,0,0
1/9/03,0,0,0,0,0,0,0,0,0,0
1/10/03,0,0,0,0,0,0,0,0,0,0
1/11/03,0,0,0,0,0,0,0,0,0,0
1/12/03,0,0,0,0,0,0,0,0,0,0
1/13/03,0,0,0,0,0,0,0,0,0,0
1/14/03,0,0,0,0,0,0,0,0,0,0
1/15/03,0,0,0,0,0,0,0,0,0,0
1/16/03,0,0,0,0,0,0,0,0,0,0
1/17/03,0,0,0,0,0,0,0,0,0,0
1/18/03,0,0,0,0,0,0,0,0,0,0
1/19/03,0,0,0,0,0,0,0,0,0,0
1/20/03,0,0,0,0,0,0,0,0,0,0
1/21/03,0,0,0,0,0,0,0,0,0,0
1/22/03,0,0,0,0,0,0,0,0,0,0
1/23/03,0,0,0,0,0,0,0,0,0,0
1/24/03,0,0,0,0,0,0,0,0,0,0
1/25/03,0,0,0,0,0,0,0,0,0,0
1/26/03,0,0,0,0,0,0,0,0,0,0
1/27/03,0,0,0,0,0,0,0,0,0,0
1/28/03,0,0,0,0,0,0,0,0,0,0
1/29/03,0,0,0,0,0,0,0,0,0,0
1/30/03,0,0,0,0,0,0,0,0,0,0
1/31/03,0,0,0,0,0,0,0,0,0,0
2/1/03,0,0,0,0,0,0,0,0,0,0
2/2/03,0,0,0,0,0,0,0,0,0,0
2/3/03,0,0,0,0,0,0,0,0,0,0
2/4/03,0,0,0,0,0,0,0,0,0,0
2/5/03,0,0,0,0,0,0,0,0,0,0
2/6/03,0,0,0,0,0,0,0,0,0,0
2/7/03,0,0,0,0,0,0,0,0,0,0
2/8/03,0,0,0,0,0,0,0,0,0,0
2/9/03,0,0,0,0,0,0,0,0,0,0
2/10/03,0,0,0,0,0,0,0,0,0,0
2/11/03,0,0,0,0,0,0,0,0,0,0
2/12/03,0,0,0,0,0,0,0,0,0,0
2/13/03,0,0,0,0,0,0,0,0,0,0
2/14/03,0,0,0,0,0,0,0,0,0,0
2/15/03,0,0,0,0,0,0,0,0,0,0
2/16/03,0,0,0,0,0,0,0,0,0,0
2/17/03,0,0,0,0,0,0,0,0,0,0
2/18/03,0,0,0,0,0,0,0,0,0,0
2/19/03,0,0,0,0,0,0,0,0,0,0
2/20/03,0,0,0,0,0,0,0,0,0,0
2/21/03,0,0,0,0,0,0,0,0,0,0
2/22/03,0,0,0,0,0,0,0,0,0,0
2/23/03,0,0,0,0,0,0,0,0,0,0
2/24/03,0,0,0,0,0,0,0,0,0,0
2/25/03,0,0,0,0,0,0,0,0,0,0
